,Account,Yearmonthhour,Post,Treatment,PostTreatment,Avg_Metered_Amount
669,50828002,20171020,0,1,0,129.216
670,50828002,20171021,0,1,0,129.344
671,50828002,20171022,0,1,0,83.904
672,50828002,20171023,0,1,0,52.288
673,50828002,20171100,0,1,0,33.856
674,50828002,20171101,0,1,0,34.368
675,50828002,20171102,0,1,0,38.272
676,50828002,20171103,0,1,0,39.424
677,50828002,20171104,0,1,0,42.944
678,50828002,20171105,0,1,0,82.048
679,50828002,20171106,0,1,0,87.808
680,50828002,20171107,0,1,0,86.016
681,50828002,20171108,0,1,0,80.832
682,50828002,20171109,0,1,0,61.312
683,50828002,20171110,0,1,0,61.952
684,50828002,20171111,0,1,0,67.008
685,50828002,20171112,0,1,0,70.4
686,50828002,20171113,0,1,0,48.448
687,50828002,20171114,0,1,0,44.032
688,50828002,20171115,0,1,0,46.144
